0, 2650, 349, 247, 0
1, 349, 247, 0
2, 348, 251, 0
3, 347, 251, 0
4, 346, 252, 359
5, 346, 252, 359
6, 346, 253, 359
7, 346, 254, 358
8, 346, 253, 358
9, 345, 254, 356
10, 345, 253, 356
11, 345, 254, 355
12, 344, 254, 354
13, 343, 255, 353
14, 343, 255, 353
15, 342, 255, 352
16, 341, 255, 353
17, 341, 254, 352
18, 341, 254, 353
19, 341, 252, 352
20, 341, 252, 352
21, 340, 254, 352
22, 338, 254, 352
23, 336, 254, 351
24, 335, 254, 352
25, 335, 254, 352
26, 334, 254, 351
27, 333, 254, 350
28, 333, 254, 350
29, 331, 255, 348
30, 331, 255, 347
31, 331, 256, 346
32, 331, 256, 344
33, 330, 256, 343
34, 330, 256, 343
35, 327, 258, 342
36, 327, 258, 341
37, 326, 258, 341
38, 325, 258, 340
39, 326, 259, 339
40, 326, 259, 339
41, 326, 258, 337
42, 326, 257, 336
43, 326, 257, 336
44, 325, 256, 335
45, 324, 256, 334
46, 323, 256, 333
47, 322, 256, 331
48, 322, 256, 331
49, 319, 256, 330
50, 318, 256, 329
51, 317, 256, 328
52, 316, 255, 326
53, 315, 255, 324
54, 314, 254, 323
55, 313, 253, 321
56, 312, 254, 321
57, 310, 255, 320
58, 310, 255, 320
59, 309, 255, 320
60, 309, 255, 320
61, 308, 255, 320
62, 307, 255, 319
63, 306, 254, 319
64, 305, 254, 318
65, 304, 254, 317
66, 304, 254, 317
67, 303, 254, 316
68, 302, 254, 315
69, 301, 253, 315
70, 301, 252, 314
71, 301, 252, 313
72, 300, 252, 311
73, 300, 251, 311
74, 299, 251, 309
75, 299, 250, 308
76, 299, 249, 307
77, 298, 249, 307
78, 298, 247, 306
79, 299, 248, 304
80, 299, 248, 303
81, 299, 248, 302
82, 299, 247, 300
83, 298, 248, 299
84, 299, 249, 298
85, 299, 248, 297
86, 299, 248, 295
87, 299, 247, 295
88, 298, 246, 294
89, 298, 245, 293
90, 297, 245, 293
91, 297, 244, 292
92, 297, 243, 291
93, 297, 243, 290
94, 297, 242, 289
95, 297, 242, 288
96, 299, 242, 285
97, 299, 241, 284
98, 301, 241, 283
99, 302, 241, 282
100, 303, 241, 281
101, 303, 241, 280
102, 304, 240, 278
103, 305, 239, 276
104, 306, 238, 274
105, 306, 239, 275
106, 307, 238, 274
