[[465, 244], [448, 340], [391, 416], [301, 455], [206, 440], [130, 374], [88, 289], [106, 197], [164, 119], [249, 78], [347, 92], [425, 151]]
[[465, 248], [452, 340], [390, 414], [298, 452], [204, 432], [128, 370], [93, 281], [108, 190], [161, 111], [255, 74], [349, 90], [426, 154]]
[[464, 242], [444, 340], [382, 408], [298, 448], [203, 430], [125, 365], [97, 277], [107, 185], [165, 103], [259, 70], [354, 91], [428, 150]]
[[466, 246], [447, 342], [386, 416], [296, 451], [200, 426], [127, 364], [95, 278], [114, 182], [167, 109], [260, 69], [358, 89], [431, 151]]
[[467, 251], [447, 337], [387, 414], [289, 444], [199, 424], [127, 363], [91, 275], [115, 182], [169, 106], [261, 70], [356, 86], [433, 153]]
[[467, 253], [443, 341], [385, 418], [293, 449], [199, 428], [129, 362], [93, 277], [111, 183], [174, 107], [268, 73], [360, 93], [433, 157]]
[[469, 251], [443, 345], [385, 419], [297, 449], [199, 425], [126, 360], [98, 274], [114, 180], [177, 104], [267, 72], [359, 94], [436, 158]]
[[472, 249], [449, 349], [384, 423], [295, 451], [201, 430], [124, 362], [103, 269], [120, 177], [175, 105], [269, 72], [361, 93], [438, 162]]
[[469, 252], [446, 348], [381, 420], [292, 451], [199, 431], [123, 372], [95, 276], [118, 186], [172, 104], [271, 76], [361, 96], [435, 163]]
[[470, 255], [447, 345], [383, 421], [296, 454], [201, 430], [122, 367], [92, 280], [119, 184], [179, 114], [265, 74], [361, 96], [430, 158]]
[[472, 255], [446, 351], [383, 421], [292, 455], [199, 432], [121, 369], [92, 277], [115, 178], [178, 111], [266, 78], [360, 93], [436, 164]]
[[470, 253], [447, 349], [385, 422], [289, 452], [197, 430], [122, 371], [96, 273], [116, 186], [174, 110], [265, 73], [364, 99], [434, 166]]
[[465, 263], [439, 353], [379, 427], [286, 452], [193, 432], [119, 359], [91, 274], [118, 184], [177, 108], [269, 74], [362, 102], [437, 166]]
[[466, 263], [441, 355], [379, 429], [288, 460], [194, 430], [118, 363], [91, 272], [121, 180], [177, 105], [268, 79], [364, 101], [439, 169]]
[[467, 264], [444, 359], [377, 425], [284, 459], [192, 430], [118, 357], [94, 272], [120, 179], [178, 109], [273, 82], [367, 107], [438, 170]]
[[469, 267], [443, 363], [376, 429], [289, 460], [193, 428], [121, 358], [98, 267], [117, 178], [186, 107], [274, 77], [365, 104], [441, 174]]
[[471, 273], [445, 365], [377, 435], [284, 457], [190, 426], [125, 356], [103, 265], [127, 176], [195, 107], [291, 82], [380, 108], [447, 175]]
[[474, 279], [440, 368], [377, 440], [285, 461], [191, 428], [127, 358], [99, 265], [133, 179], [196, 104], [292, 82], [386, 117], [447, 186]]
[[476, 284], [447, 372], [378, 442], [283, 453], [191, 423], [127, 351], [106, 262], [134, 175], [203, 104], [299, 84], [388, 120], [453, 187]]
[[476, 289], [445, 378], [376, 442], [280, 460], [192, 428], [123, 356], [107, 264], [144, 177], [203, 109], [300, 85], [392, 120], [456, 194]]
[[475, 294], [445, 382], [378, 452], [280, 467], [192, 436], [125, 360], [105, 270], [138, 180], [200, 113], [295, 90], [384, 123], [456, 194]]
[[474, 293], [439, 384], [375, 448], [277, 468], [190, 436], [121, 358], [101, 267], [133, 182], [200, 117], [293, 91], [384, 126], [451, 195]]
[[474, 294], [439, 383], [370, 452], [275, 468], [180, 436], [117, 364], [97, 269], [129, 179], [196, 115], [291, 91], [382, 127], [450, 195]]
[[473, 293], [439, 387], [365, 452], [272, 474], [183, 435], [117, 367], [100, 272], [131, 183], [196, 119], [288, 93], [379, 129], [447, 197]]
[[473, 294], [433, 388], [372, 455], [273, 479], [182, 439], [113, 367], [96, 275], [125, 187], [191, 116], [291, 96], [380, 128], [448, 201]]
[[468, 300], [435, 392], [366, 457], [272, 474], [183, 441], [117, 372], [98, 276], [124, 187], [189, 121], [288, 98], [381, 131], [443, 202]]
[[471, 299], [437, 392], [368, 457], [267, 479], [177, 444], [114, 372], [94, 280], [129, 189], [194, 119], [289, 106], [381, 133], [447, 206]]
[[467, 303], [429, 403], [368, 464], [270, 481], [182, 450], [113, 377], [90, 281], [128, 193], [197, 127], [291, 104], [381, 135], [445, 209]]
[[462, 315], [424, 402], [357, 470], [264, 486], [172, 446], [113, 377], [95, 278], [131, 191], [198, 127], [292, 106], [380, 143], [443, 215]]
[[464, 319], [424, 408], [352, 466], [256, 483], [168, 444], [108, 369], [89, 279], [129, 190], [200, 128], [297, 108], [385, 146], [447, 224]]
[[462, 319], [424, 413], [346, 468], [253, 480], [161, 446], [104, 368], [91, 272], [134, 184], [202, 123], [294, 109], [387, 144], [448, 226]]
[[463, 327], [418, 417], [346, 481], [254, 485], [164, 437], [106, 365], [95, 269], [136, 186], [207, 120], [303, 111], [388, 152], [451, 230]]
[[462, 335], [422, 426], [347, 484], [247, 491], [159, 446], [100, 370], [97, 273], [136, 191], [208, 127], [307, 114], [388, 154], [446, 240]]
[[460, 341], [411, 431], [339, 488], [240, 495], [158, 448], [103, 371], [88, 274], [129, 195], [203, 129], [301, 125], [390, 163], [447, 242]]
[[458, 346], [410, 433], [340, 495], [238, 502], [157, 449], [101, 379], [86, 279], [136, 197], [206, 140], [300, 131], [387, 169], [441, 247]]
[[459, 345], [413, 431], [343, 498], [243, 502], [157, 462], [104, 384], [91, 293], [132, 208], [203, 142], [299, 128], [386, 172], [445, 249]]
[[460, 345], [417, 436], [345, 499], [247, 495], [167, 457], [113, 384], [94, 293], [134, 208], [206, 142], [303, 132], [387, 170], [446, 249]]
[[462, 350], [412, 440], [348, 498], [252, 502], [165, 460], [103, 384], [96, 289], [134, 208], [205, 143], [306, 133], [390, 175], [449, 251]]
[[461, 351], [419, 441], [347, 494], [254, 504], [160, 465], [108, 388], [98, 294], [139, 206], [208, 148], [305, 135], [393, 179], [447, 255]]
[[461, 350], [423, 439], [344, 497], [254, 501], [163, 462], [108, 387], [101, 289], [138, 209], [213, 144], [311, 140], [392, 175], [452, 255]]
[[459, 357], [418, 442], [344, 497], [248, 503], [159, 455], [111, 385], [102, 287], [143, 203], [214, 139], [310, 136], [397, 177], [454, 258]]
[[459, 366], [416, 453], [339, 505], [243, 503], [158, 455], [102, 377], [102, 282], [146, 199], [225, 142], [316, 139], [403, 183], [453, 267]]
[[461, 369], [412, 454], [334, 505], [239, 505], [156, 448], [94, 375], [96, 273], [144, 193], [230, 147], [322, 140], [409, 183], [458, 268]]
[[460, 373], [406, 452], [331, 503], [234, 504], [153, 449], [101, 371], [105, 275], [153, 194], [234, 140], [331, 139], [410, 192], [458, 275]]
[[459, 376], [409, 458], [330, 507], [229, 501], [149, 446], [105, 365], [110, 269], [154, 188], [235, 143], [333, 141], [411, 193], [466, 277]]
[[457, 385], [402, 460], [319, 508], [220, 496], [145, 439], [103, 359], [106, 264], [158, 186], [243, 135], [335, 146], [413, 200], [460, 282]]
[[457, 387], [401, 464], [317, 511], [220, 491], [140, 434], [98, 352], [106, 261], [161, 184], [245, 139], [341, 152], [419, 201], [462, 278]]
[[457, 387], [402, 468], [315, 510], [214, 495], [141, 439], [100, 352], [110, 256], [168, 180], [248, 139], [346, 146], [423, 202], [461, 288]]
[[456, 389], [393, 460], [310, 506], [215, 486], [139, 436], [100, 350], [106, 256], [156, 176], [249, 133], [346, 148], [426, 206], [466, 285]]
[[451, 395], [397, 469], [311, 511], [212, 497], [139, 433], [94, 347], [112, 254], [165, 175], [252, 132], [342, 141], [423, 202], [458, 293]]
[[448, 396], [395, 467], [307, 505], [210, 490], [136, 435], [100, 343], [110, 258], [167, 177], [252, 137], [346, 145], [423, 203], [463, 293]]
[[447, 395], [384, 469], [302, 512], [203, 493], [130, 427], [96, 344], [107, 247], [166, 175], [250, 131], [346, 146], [424, 204], [459, 299]]
[[444, 403], [381, 472], [295, 515], [202, 494], [126, 435], [83, 348], [102, 247], [161, 176], [248, 142], [346, 149], [421, 211], [455, 305]]
[[444, 407], [379, 479], [292, 519], [195, 500], [118, 436], [83, 344], [105, 255], [160, 181], [245, 141], [344, 153], [421, 218], [454, 311]]
[[435, 414], [369, 486], [281, 515], [188, 493], [119, 432], [89, 344], [101, 251], [160, 182], [252, 139], [348, 161], [420, 224], [450, 318]]
[[428, 422], [361, 486], [273, 519], [183, 497], [112, 430], [85, 338], [104, 248], [167, 179], [252, 140], [348, 166], [419, 228], [448, 322]]
[[422, 426], [360, 496], [272, 522], [178, 494], [107, 423], [75, 333], [102, 247], [163, 175], [254, 142], [350, 169], [425, 230], [449, 323]]
[[425, 426], [361, 487], [271, 520], [177, 497], [108, 427], [78, 335], [105, 244], [166, 173], [255, 141], [346, 168], [416, 231], [447, 323]]
